Turkish,English
kazası,accident
partide,in the party
bitirelim,let's finish
ricky,ricky
dolayısıyla,therefore
endişelenmeyin,do not worry
yönetici,executive
mitch,mitch
mulder,mulder
hill,hill
sinemaya,to the cinema
götüreyim,let me take it
çıkart,extract
almalıyız,We have to buy
ardında,behind
ameliyatı,surgery
edecekler,they will
şantaj,blackmail
geleyim,let me come
şuradan,out of
christopher,Christopher
göründüğü,seemed
aileni,your family
bozuldu,broken
delice,madly
kulübe,Shack
kalkın,grade
philip,philip
ilacı,medicine
kalmıştı,had been left over
düşünecek,will think
deniyorum,I am trying
İn,Of
işık,light
yapmıyorsun,you don't
güçleri,strengths
transfer,transfer
natalie,natalie
ekselansları,His Excellency
bilemedim,I didn't know that
içini,interior
inek,cow
yaşamayı,to live in
april,april
mesafe,distance
yapacağı,will
defolun,checkout
hareketi,gesture
kasabanın,the town's
yaramadı,didn't get a wound
mudur,manager
holmes,holmes
sapan,sling
ben-,I-
sayende,countendo
konuştuğunu,that she is talking
twitter,twitter
ajanı,agent
g,g
bakıma,care
geldiğim,I come from
kullanıyorsun,you are using
geciktim,I am late
olduğunca,as far as you are
duyamıyorum,I can not hear
cinayetten,murder
paramız,our money
operasyonu,operation
dawson,dawson
deyin,say
vermesi,giving
öğrenmeye,learning
istemek,request
köşeye,to the corner
neyim,nam
gloria,gloria
yakıt,fuel
açıklamak,to explain
dayanarak,on the basis of
açısından,in terms of
birdenbire,suddenly
konuşup,talk
bahsetmiyorum,I'm not talking about
muayene,peak
oradaydım,I was there
denemeye,to try
öleceksin,you will die
saklamak,to hide
biyolojik,biological
iğne,needle
düşündüğümü,I'm thinking about
tanımak,know
İleri,Forward
devreye,commissioning
alınmış,taken
hazine,treasure
gri,Grey
akşama,hitch
içten,sincere
hafıza,memory
İtiraz,Objection
alfa,alpha
pisliği,fucker
ölmesini,dying
doğa,nature
konuşayım,let me talk
İndir,Download
alev,flame
karımın,my wife
gelirdi,It would come
tatile,vacation
şimdiki,current
saatin,the clock
gidersen,If you go to
istediğinizi,that you want
ettiğimiz,We're
sihir,Magic
gitmemi,gait
olmamıştı,has never been
kullanıyorum,I use
istiyormuş,he wants
iade,return
kriz,crisis
şeytanın,devil
sent,cents
sıvı,liquid
hüküm,provision
kalmamış,unsighted
beyzbol,baseball
yollar,roads
bulma,find
şık,stylish
hallettim,I got it done
günlüğüne,journal
izlerini,trace
ürkütücü,eerie
sevmez,does not like
asil,Royal
almalıyım,I have to take
hücre,cell
desem,desem
söyledikleri,that they say
çalışmıyorum,I am not working
bekler,waits
suçluluk,guilt
çıkaracağım,I will take it off
çıkmam,I don't get out of
casus,spy
olacağımı,that I will be
ederseniz,If you are
eğil,bend
bedeli,cost
eseri,stiff
doları,dollar
birincisi,first
yolları,roads
bağımsız,independent
yeteneği,ability
patronum,my boss
yaratıcı,creative
neşeli,happy
ip,rope
kaçırdı,missed
Tem.38,Tem.38
belkide,maybe
bilmiyorlar,they do not know
bulduğum,I have found
kullandın,you have used it
sok,shock
öldürdüler,they killed
yemekte,dinner
amerikalılar,Americans
efsane,myth
ölmüştü,had died
uygunsuz,unsuitable
istersem,If I want to
aradığın,you are looking for
pantolon,trousers
bakınca,Look at
arkadaşımla,with my friend
odana,ode
kuşu,bird
yönünde,towards
gündü,was the day
alicia,alicia
riski,risen
mezar,grave
yüzün,your face
öğrendi,learned
istemeyiz,we do not want to
elmas,Diamond
psikolojik,psychological
almanı,germane
yaşta,age
duygularını,their feelings
star,star
onlarda,on them
edemeyiz,We are unable to
başladığında,when he started
fiyat,price
carla,carla
surat,face
çevir,translate
gitmedim,I did not go
kendiniz,yourself
geleneksel,traditional
diğerlerine,to the others
uğraşıyorum,I'm dealing with
oynuyorsun,You are playing
santa,santa
warren,warren
İkinizin,The two of you
hastası,patient
bulmuşlar,they have found
kong,kong
anlatırım,I tell
lana,lana
hissetmek,to feel
arkanda,behind you
oyna,play
dilini,language of
getirebilir,can bring
moskova,Moscow
olursam,If I'm
hâle,inhabitant
y,y
getirmiş,brought
kaçık,foul
buluyor,finds
suçlama,blame
ölmedi,it did not die
girelim,lets go in
aptallar,dummies
rita,rita
görüyorsunuz,you see it
isimli,named
elinizde,in your hand
sandy,sandy
kenarında,on the edge of
öleceğim,I'm going to die
analiz,analysis
kullanabilir,can use
delisin,you're crazy
ölümün,of death
lakin,not that
olduğuma,that I am
hedefi,goal
mitchell,mitchell
açtım,I opened
nora,nora
vuruş,strike
jenna,jenna
çifte,double
etkilendim,I am impressed
gitmez,not going
yalvarırım,I beg
yapmanız,do
bisiklet,bike
fincan,Cup
wow,wow
gölge,shadow
yemeğinde,at the food
beyni,brain
karşısına,opposite
gereği,accordance
yepyeni,brand new
filmde,in the film
yakınında,near
işti,tuck
dul,widow
standart,standard
tatlısın,You are sweet
bal,honey
May.61,May.61
çal,steal
davrandım,I behaved
kafama,in my head
onsuz,without
içer,drinking
anneciğim,my mom
fiyatı,price
pencere,window
acilen,urgently
borcu,debt
ezik,meek
düşünüyordu,he was thinking about
çıktık,We have dated
ileride,in the future
almamız,we take
diana,diana
kovboy,cowboy
çarptı,hit
kaçın,escape
edilebilir,can be
alarak,taking
düşünüyorsan,If you think that
koşun,run
atar,throws
çekmiş,withdrawn
geçerken,in passing
kuşlar,birds
deliği,its hole
sanatçı,artist
görünüyorsunuz,you appear to be
tokyo,Tokyo
olaydan,from the event
vic,vic
kırk,forty
maaş,wage
merkeze,to the center
birader,brother
takas,swap
söylendi,were told
konuşabiliriz,we can talk
irak,Iraq
arkasındaki,behind
görün,see
bulunmuş,founded
İntihar,Suicide
gerisini,the rest of
kaçırma,abduction
seçeneğimiz,our option
birbirinize,to each other.
elimizdeki,we have
kesmek,to cut
gözümün,my eye
ellie,ellie
denk,equivalent
güveniyor,is trusting
yukarıya,up
kocamın,my husband
sizleri,you are
ellerinizi,your hands
olmadığım,that I am not
yönetmen,director
yiyip,eating
görevini,duty
af,amnesty
atma,throw
kafamda,in my head
lara,lara
çalışırım,I work
etrafına,around
dönüyoruz,We are turning
civarında,around
ölmeyi,dying
heather,heather
diğerlerinin,the other's
kazaydı,was the accident
ağlıyor,crying
gözlerinin,of your eyes.
gelecektir,will come
sinyali,signal
istedik,we wanted
man,Man
leslie,leslie
durumdan,from the situation
kılıcı,sword
craig,craig
treni,train
esir,prisoner
solucan,worm
olursunuz,you'll be
düşünen,thinking
ofisine,to the office of
adası,island
atmış,scored
troy,troy
gecede,overnight
emirleri,orders
lex,lex
olanlara,to those who are
vaftiz,baptism
taşıyan,bearing
hatun,feather
gidersin,you go
sağla,provide
bağış,donation
prova,rehearsal
buluşuruz,we will meet
cadde,Street
damon,damon
bilinmeyen,unknown
mmm,mmm
kelimeler,words
yoo,yoo
üzerimde,on me
yazılmış,written
çiftlik,farm
meclis,council
sorumlusu,responsible
yapabileceğimi,that I can do
ralph,ralph
adamlara,to the guys
hee,hee
kötüydü,It was bad
çıkıyorsun,you are getting out of
ofise,to the office
göreyim,let me see
giriyorum,I get in
sürücü,driver
ma,ma
ned,ned
yaşayacak,will live
düşer,falls
olmuşsun,you have been
green,green
dini,religious
ofisinde,in his office
ronnie,ronnie
gelmiştir,has come
erkeği,male
hattı,line
dili,language
umutsuz,desperate
sahnede,on stage
yapılır,makes
arazi,land
hapishanede,in prison
kayıtlı,registered
hazırladım,I prepared
çılgınlık,frenzy
nicole,nicole
problemi,trouble
şayet,ill
odasını,her room
beklenmedik,unexpected
İkincisi,Latter
çözmek,solve
ava,ava
hangisini,which
hazırlayın,prepare
çöpe,trash
cameron,cameron
motoru,engine
etmeme,fancy
ortağım,my partner
polisleri,cops
İlaç,Medicine
ölene,dying
oğluma,to my son
seçtim,I have chosen
rüyalar,dreams
gelişmiş,advanced
yanındayım,I'm on the side of the
sahipsin,you have
takımın,of the team
yeah,yeah
ilerliyor,progressing
İşten,Dismissal
kazanır,wins
konuşmuştuk,we had talked
harper,harper
hector,hector
melissa,melissa
etmesine,stiffly
erkekle,male
salim,salim
herşeyin,alley
yerli,local
murphy,murphy
şeyimiz,our thing
adresini,his address
adamlarım,my men
organize,organized
diyecek,will say
geceden,overnight
deney,experiment
aldığımız,we received
göremedim,I couldn't see it
sid,sid
kaçtım,I have run away
anlatır,told
köpeğin,your dog's
çıksın,let out
vietnam,Vietnamese
döneceğiz,we will be back
hassiktir,it is oshave
kontrolünü,controlling
peri,fairy
kont,count
durumlar,situations
hissedebiliyorum,I can feel it
kalkma,quenching
yarışı,half
atı,horse
z,z
kurtardım,I recovered
soo,soo
kitabın,of the book.
doğdu,born
isterdi,she would like to
yang,yang
kuralı,rule
kamu,public
leydim,I've Lady
gina,gina
çalıştığın,that you are working
yanlışlıkla,by mistake
kalabilirsin,you can stay
olabileceği,may be
kale,Castle
tarafını,side
bırakıyor,it leaves
vanessa,vanessa
hepsine,to all of them
bileti,ticket
simpson,simpson
jill,Jill
kullanmaya,to use
kalırım,I remain
bahçe,garden
kuzeye,north
lauren,lauren
varsın,you are there
alsın,buy
west,west
tetiği,trigger
saldırgan,attacker
hayvanat,zip
getirmeye,to bring
alarmı,alarm
helikopter,helicopter
harita,map
düşünürdüm,I would think of
planları,plans
düzeltmek,to change
söylediğine,that you say
ağrısı,pain
şunlara,to the following
lane,lane
makyaj,make-up
kullanan,useful
bakmam,I don't look at
tedavisi,cure
kanıtlamak,prove
kalıyorsun,you are staying
tersi,reverse
edilmesi,ing
bahsettiğim,I'm talking about
deneyin,try
söylemeden,without saying
birbirinizi,each other
sinema,cinema
mide,stomach
çalışmam,my work
çeşitli,various
tutuyorum,I'm holding
benziyordu,he looked like
iyiye,good
gelmemi,ing
pam,pam
gökyüzü,sky
hiçbirini,none of the
çağırıyor,calling
sydney,sydney
gözlerine,eyes
değiştir,change
evinize,to your home.
İstediğini,Desirable
arkadaşlarının,of your friends.
kraliçesi,queen
geleceğin,your future
heyecanlıyım,I am excited
tutacak,handle
durdum,I stopped
tutup,grips
ilgilenirim,I would be interested in
du,du
elim,my hand
uçakta,on the plane
mali,financial
yürüyüş,walk
kocanız,your husband
devriye,patrol
biftek,steak
ödeyeceğim,I will pay
halledeceğim,I'll take care of
sokağı,Street
söylediğinde,when he said
meg,Meg
düşününce,considering
bekleyeceğiz,we will wait
eşyalarımı,my stuff
şeref,honor
çıkmadan,out
nehri,river
üyeleri,members
çalıntı,stolen
memnuniyetle,satisfaction
müzİk,music
dede,grandfather
sik,stylish
bakire,virgin
boşluk,space
din,religion
odanın,of the room.
janet,janet
patladı,Exploded
konuyla,on the subject
christian,Christian
gitmiyoruz,We are not going to
şartlar,conditions
pirinç,rice
sahibim,I have
değmez,unworthy
zeyna,zeyna
bakanı,minister
yerle,at
ndeki,in
kur,exchange rate
şifre,password
uykuya,asleep
çıkması,exit
samantha,samantha
anlamış,understood
yapmıştı,had done
hastanın,the patient's
askerleri,soldiers
bugünün,today's
buluşmak,to meet
ölürsün,you die
neredeyiz,where are we?
brooke,brooke
gelmedin,you did not come
Nis.04,Nis.04
joan,joan
kutuyu,box
geleceksin,you will come
hazırlanın,Prepare
watson,Watson
katherine,katherine
öldürüp,killing
değişiyor,it is changing
annesine,to the mother of
kaçta,what time
buda,Buddha
alıcı,buyer
willie,willie
başbakan,prime minister
durdurmaya,to stop
durumdayım,I'm in situation
oluyordu,was happening
satan,selling
kadınlarla,with women
fotoğraflar,photos
zack,zack
geçirdin,you have spent
keşif,discovery
won,won
evren,universe
monk,monk
biliyormusun,do you know
tanıştırayım,Let me introduce
sevdin,did you like it
yaşadı,lived
hayli,quite
isteği,the request
erkeğe,man
durur,stops
gitmene,gait
bacaklarını,your legs
zamanlama,timing
gördüğümüz,we see
köy,Bay
baktın,you have looked at
ışıkları,lights
piper,piper
gözlü,eyed
proje,project
May.71,May.71
almanlar,Germans
daisy,daisy
manhattan,Manhattan
sokmak,sting
vurulmuş,smitten
evan,evan
eşsiz,matchless
çocuklardan,from children
castle,Castle
binayı,the building
dönmeye,rotation
yüzünde,on the face of
kazandık,we won
öldün,you died
nelson,nelson
hizmetçi,maid
düşünüp,consideration
vereceğini,that you will give
yemekleri,their food
big,bigger
görmemiş,unseen
tiyatro,theatre
Mar.56,Mar.56
kaçırmak,to miss
akşamı,evening
gey,gay
adınız,your name
kül,ash
go,g go
wade,wade
şüpheliyim,I'm doubtful
karısının,the wife's
ölümünü,death
İntikam,Revenge
İnanmıyorum,I do not believe
inanabiliyor,able to believe in
saatler,watches
fransızca,French
çekilmiş,ground
yemekler,meals
yetki,authority
min,min
salonunda,in the hall
unutmuş,forgotten
tamamlandı,Completed
aslı,sophisticated
peşini,pursuing
gösterisi,show
kızıma,my daughter
cennete,heavenly
gördüğünde,when he sees
izler,marks
altıncı,sixth
komplo,complo
amiral,admiral
koydun,you have put in
görünür,visible
doğrudur,is true
filme,filthy
grubun,of the group's
hyun,Hyun
allen,allen
arıyorsunuz,Looking for
kamerayı,the camera
bölümünde,in the section
bulmalıyım,I have to find it
yetkili,official
şekil,shape
yakaladın,you have captured
ilişkiye,relation
binada,in the building
yazıyorum,I am writing
kelimeyi,word
yaşar,lives
odaklan,focus on
doğruysa,If true
geçme,pass
çinli,Chinese
öfkeli,furious
ayrılma,separation
hatalı,incorrect
aramış,sheered
bulunur,found
baktığımda,When I look at
aradığım,I'm looking for
detayları,Details
imha,destruction
arar,searching for
antik,antique
bilmediğim,that I don't know
Haz.11,Haz.11
doğuştan,congenital
rob,rob
karakter,character
kızınız,your daughter
ashley,ashley
olurdun,you would be
stefan,stefan
söylersem,If I say it
borcum,my debt
dehşet,horror
öleceğiz,we will die
oturmuş,seated
biriniz,one of you
gülümse,smile
İkimizin,The two of us
içtim,I drank
alınan,received
ejderha,dragon
Kas.94,Kas.94
sonuçlar,results
alabiliriz,we can get
ford,ford
ahh,ahh
cin,gin
hayvanları,animals
senedir,is the year
öğrendik,we have learned
alanda,in the area
sebepten,for the reason
telefonla,by phone
kanını,bold
paraları,coins
seferde,at the time
elektronik,electronic
yarası,wound
aradığımız,We are looking for
hissi,sentimental
vermeliyiz,We have to give
hayatlarını,their lives
pisliğin,of the scumbag.
vazgeç,give up
basketbol,basketball
gülünç,funny
edecektir,will be the
duyunca,heard
güzeldir,It is beautiful
bombası,bomb
birimi,unit of
söylemelisin,You have to say
iri,large
işinin,of your job.
ülkeye,country
bitki,Herb
cevabını,your answer
suda,water
eger,if
servet,fortune
kesildi,has been cut
ilişkin,related
lloyd,lloyd
elin,your hand
uyurken,while sleeping
geçmişe,to the past
nöbet,watch
ağabey,brother
yapamadım,I could not do it
ilerleme,progress
üstündeki,above
yanımızda,by our side
emanet,deposit
telefonum,my phone
almalısın,you should get it
sınıfı,class
olduysa,If he became
kalamam,I can't stay
İşimiz,Our business
konuşun,Talk to
kapısı,gate
etmene,etc.
götürüp,levy
yatağına,bed
dikiş,stitch
aradığınız,you are looking for
parçalara,to pieces
oteli,hothouse
geçmeden,without passing
hayati,vital
çocuksun,you are children
sı,si
konuşamam,I can't talk
dale,dale
görmedi,he has not seen
istediğine,at
sahil,Beach
cömert,generous
gitmiştim,I went
masaj,massage
louise,louise
arkadaşınız,Your friend is
defteri,book
hallet,hollet
clara,clara
manny,manny
atan,appointed
kola,Coke
restoran,restaurant
üçlü,triple
ettiğinde,When you are
güzelce,nicely
görmeden,without seeing
pişmanlık,regret
başkanın,the chairman
dileriz,we wish
çekecek,will attract
kuzen,cousin
görüşmeye,interview
crane,crane
davada,in case
yapacağın,you'll make
götürürüm,my
katolik,Catholic
bölgeyi,the area
konuşmuyor,is not talking
söylesem,If I say it
yanınızda,by your side
karışma,mixing
kızsın,you are the girl
chase,chase
kendimiz,ourselves
kitabını,your book
bakıyordum,I was looking at
hızlıca,rapidly
budala,fool
stark,stark
komşu,neighbour
gidiyordum,I was going to
götürüyor,it is taking away
büyüdüm,I have grown up
ayarladım,I have set up
çıktığı,out
kastediyorsun,you mean
açım,I'm hungry
mia,mia
küçücük,tiny
gitmeyeceğim,I won't go
lastik,tyre
durumuna,to the state of
hataydı,was the mistake
bahsediyorsunuz,You are talking about
öneririm,I suggest it
dosyaları,the files
kırılmış,broken
leon,leon
dedikodu,gossip
öğrenirse,If he learns
istediniz,you have requested
wallace,wallace
kongre,congress
basıncı,pressure
geldiğine,that
brooklyn,brooklyn
düşündüğü,he is thinking
yokum,insoluble
birim,unit
veronica,veronica
ıslak,wet
bombayı,bomb
ulaştı,reached
drew,drew
mikey,mikey
yapacaklar,they will do
inanır,believer
çeki,check-up
seçme,choose
işlerim,my works
üzerimden,over
derde,in the trouble
kızlardan,with the girls
avustralya,Australia
karını,wife
kayda,recording
iniş,landing
evimiz,our home
dediklerini,that they say
basınç,pressure
baskın,raid
nazi,Nazi
plana,plana
arkadaşlarına,to your friends
ayağını,her foot
çıkarır,extract
dakikan,minute
ayrılmış,divided
seçimi,selection
unutmayacağım,I will not forget
alıyorlar,they are receiving
lüks,luxury
İsim,Name
büyülü,magical
istemişti,he had asked
kırıldı,broken
sormam,I don't ask
kazanıyor,is winning
bakacağız,we will look at
kendileri,themselves
çıkınca,on
odadan,from the room
tıraş,shaving
söylerken,while saying
yapmadık,we didn't
geldiğince,as much as it can
karışmış,mixed
neal,neal
kapatmak,to close
favori,favorite
whoa,whoa
ucube,Freak
saklı,hidden
yapmıyoruz,We don't do it
vermeyecek,will not give
yazdığı,written
keyifli,pleasant
İstediğiniz,Desired
çıkmasını,exit
İspanyol,Spanish
bitmek,end up
hatırlatıyor,reminders
anlatıyor,told
yapıldığını,that he was done
devrim,revolution
amber,amber
shaw,shaw
blair,blair
toplu,collective
yakınlarda,recently
olmama,inconvenience
hat,line
şimdiyse,now
franklin,franklin
sın,sample
gidebilirim,I can go
oyunda,at game
gittiğimde,When I go to
çalıştık,We have studied
bölgeye,to the area
kızdı,he was angry
resimler,pictures
dedik,we said
kaldırmak,to pick up
belgeleri,documents
saha,field
öğrencisi,pupil
yiyeceğim,I will eat
ormana,forest
kardeşlerim,my brothers
choi,choi
aramıza,to our called
konusunu,the subject of
atıyorum,I'm throwing out
veririz,we will give you
layık,worthy
gitsek,gait
acıyı,stiffness
kalmam,my stay
aleti,instrument
planımız,our plan
kalanlar,remaining
ağzı,mouth
mcgee,mcgee
ibne,fagot
güce,power
bağı,bond
tanımıyor,does not recognize
dostun,your friend
noah,noah
kullanacağım,I will use it
hükümeti,government
bilemem,I do not know
bitene,finished
oynama,play
okyanus,Ocean
evimi,my house
aklın,your mind
edilir,are welcome
hastaneden,from the hospital
patty,patty
hastanesi,hospital
benny,benny
zamankinden,at the time of time
yaklaşma,approach
bud,bud
yönde,in the direction
bölgesinde,in the region
edemedim,I couldn't ed it
anladı,understood
eşya,goods
öldürmeyi,killing
aileye,to the family
Eki.37,Attachment.37
marge,marge
bilgiye,to knowledge
değersiz,worthless
teşvik,incentive
anderson,anderson
göreceksiniz,You will see
partisine,to the party
sokağın,the street
olmakla,ing
diego,diego
hamle,move
Oca.27,OCA.27
mel,mell
gitmeyecek,will not go
sevgililer,valentines
haricinde,not including
köşede,in the corner
doğmuş,born
fikirde,intelligent
birbirini,each other
gitmeme,gonna
döndük,weird
hatırlıyorsun,you remember
dövme,tattoo
emre,Emre
hazırlıklı,prepared
vardım,arrived at
pahasına,at the expense of
uyumlu,Easy going
atacağım,I will throw
parkta,in the park
kaldığı,remaining
adamlardan,from the men
tahrik,drum
kodu,code
we,wehe
akşamki,evening
sorumluluğu,responsibility
isimleri,names
göstermeye,showing
ucunda,at the end of
şarkısı,song
istiyordun,you wanted to
lezbiyen,Lesbian
gidince,when you go
göndereceğim,I will send
sistemini,the system of
tanıştın,you have met
curtis,curtis
seviye,level
başınıza,on your head
tamamı,all
öldürecekler,they will kill
denizci,sailor
poker,poker
çantası,bag
dışarıdaki,outside
gelmeyi,arrival
sınav,push-up
kirk,forty
ndaki,in
stone,stone
pamuk,cotton
evimize,to our house
babalık,paternity
meryem,mercury
tüfek,rifle
naomi,naomi
ateşin,your fire
günümüz,nowadays
saçları,her hair
bebekler,babies
kalktı,stood
parmağını,finger
senindir,it's yours
söylediklerimi,what I say
elaine,elaine
gücüm,my strength
clyde,clyde
büyükannem,grandmother
sözde,so called
bilgisi,knowledge
kana,blood
manzara,view
uğramış,underdone
herkesle,with everyone
korsan,pirate
pound,pound
parçalar,parts
arabanı,your car
marco,marco
konser,concert
bailey,bailey
kağıdı,paper
tanığı,witness
takdim,presentation
seattle,seattle
duyar,hears
alison,alison
alanına,in the field
eroin,heroin
dönüştü,transformed
düğünü,wedding
gerçekler,truths
konuştuğumuz,we are talking
siyasi,political
tuz,salt
verdiğiniz,that you give
doktorum,My doctor
yaparsam,If I do it
aya,moon
getirdik,We have brought
açılış,opening
lindsay,lindsay
felix,felix
duke,duke
tenis,tennis
yaşamın,of life
yüzme,swimming
yapmasına,onto
davranmaya,to behave
evdeki,home
faydalı,beneficial
bağlayın,connect
ortalık,center
atışı,bush
toplamak,to collect
bekleyebilir,can wait
uyarıyorum,I warn
kocamı,my husband
kullanmış,used
üniversitede,at the university
geçtik,we have passed
yeme,eating
içiyor,drinks
ey,article
seçtin,you have chosen
yatın,lit
vermemi,giving
negatif,negative
hesaba,to account
gelebilirsin,you can come
colin,colin
antonio,antonio
edebilirsiniz,You can be able to
dwight,dwight
silahlarınızı,your weapons
başlayacağım,I will start
kaçırmış,missed
aileme,my parents
tereddüt,doubt
telsiz,radio
soruya,to the question
yapacağımızı,that we will
adrian,adrian
olduğumdan,as I am
keçi,goat
felç,paralysis
say,count
kuruş,penny
güneye,south
yürümek,to walk
dikkatlice,carefully
zombi,zombie
gözüne,to the eye
meme,breast
öğretmenim,my teacher
otopsi,autopsy
farz,religious duty
otobüse,to the bus
ümit,hope
durumdayız,we are in the situation
zorlama,force
kopya,copy
havlu,towel
aylardır,for months
başımı,my head
suratına,in the face
zorluk,difficulty
dairesi,apartment
tanrılar,gods
tavan,ceiling
ihlal,breach
yaşamış,-lived
hazırlık,preparation
ofisime,to my office
stuart,stuart
davranma,interaction
kıçımı,my ass
kay,kay
İnsanın,The man's
kesik,incision
yaşamı,lifetime
seversin,you like it
telefonumu,my phone
dağı,Mountain
bölümlerinde,in their sections
kitapları,books
otursana,to the seat
miras,heritage
açıklığa,sparingly
Ara.25,Search.25
bıraktığı,left-handed
senaryo,scenario
temizlemek,clear
söyleyeceğimi,I will say
diğerlerinden,from the other
eşin,inspiration
görüşmesi,interview
çekme,Do not Pull
diyordu,she was saying
tutacağım,I'll keep it
aşığım,I am in love
bırakmayacağım,I will not leave
kadınsın,you are woman
daphne,daphne
zordu,it was hard
dostu,friendly
gazeteci,journalist
ata,ata
kritik,critical
denilen,called
söylemiyor,doesn't say it
beklerken,while waiting for
yazıyordu,he was writing
esnasında,during
görüyoruz,We see
sabahı,in the morning
e-posta,email
yakınlarında,Nearby
yaşındaydım,I was age
geldiğimi,that I have come
anlamlı,significant
debbie,debbie
etmeli,stiffly
kapılar,doors
göründü,seen
işimizi,our business
nedense,for some reason
bel,waist
yaşındaydı,he was age
dışındaki,outside
ayrıldım,I have left
benjamin,benjamin
dışarısı,outside
yapılıyor,is being done
çıkmıyor,doesn't go out of
batman,Batman
atıyorsun,you're throwing
çaldım,I have stolen
koyup,putting
inanmıyor,does not believe in
okuluna,to their school
gelenin,in
sade,simple
İkisini,The two of them
rehin,pledge
saniyede,per second
sefil,miserable
Ağu.89,Aug.89
zamanları,their time
korkutuyor,frightening
girdiğini,entry
görünmek,seem
onay,approval
uğradı,have been suffixed
harcadım,I spent
gittiğim,I'm Gone
gecelik,Nighty
kaliteli,quality
okuyorum,reading
bilmelisin,you should know
uyumaya,to sleep
bakarsak,If we look at
şakaydı,it was a joke
ücret,fee
olmuştum,I had been
bekliyordun,you were waiting for
geyik,deer
döneceksin,you'll be back
başlayacağız,we will start
edeceksiniz,You will be on
araban,car
karşılığını,conservative
evrak,document
trene,to the train
esrar,marijuana
feci,disastrous
kennedy,kennedy
ayıp,rude
kelimeleri,words
pozitif,positive
haley,haley
kaçan,fugitive
götürelim,let's take it
benzeri,like
ölmesi,dying
sözümü,my word
tamamını,entirely
havaalanına,to the airport
ları,lari
palmer,palmer
almasını,reckoning
kadınım,my woman
duruşma,hearing
gitsen,You go
gözünde,in the eyes of
kurtaracak,will save
portakal,Orange
tekerlekli,wheeled
istihbarat,intelligence
yapmışsın,you have done
dibine,to the bottom of
yetersiz,insufficient
evsiz,homeless
babasına,to his father
kazara,accidentally
bulmayı,finding
beklerim,waiting for
korkuttun,you're scared
korkutmak,scare
kurbağa,frog
afiyet,health
paramparça,shattered
kurmaya,to establish
evimden,from my house
çök,a lot
bırakırım,I'm leaving
çağırdı,summoned
türü,Type
düşünüyordun,You were thinking about
ötede,over
ellerine,to your hands
güzeller,beauties
isteriz,we want
las,las
göl,goal
gittikten,giving
kaplı,covered
babamız,our father
kızdan,girlfriend
susun,sow
düşüneceğim,I will think of
eğlenmek,to enjoy
insansın,you are human
tucker,tucker
dedikleri,they say
anlaşması,agreement
gidebilirsiniz,You can go to
açıklar,explains
öncesinde,before
incitmek,hurt
başımın,my head
durumlarda,in situations
geçiyorum,I'm going through
bırakamam,I can't leave it
yaşadığımız,we have experienced
macera,adventure
avcısı,hunter
yapacağımız,We will do it
anlaşmaya,agreement
öğrenmiş,learned
söylemeni,telling you
öğretmeni,teacher
ruby,ruby
anneniz,Your mother is
kişiden,from the person
olacaksa,If it is going to be
hayalini,dream
düşünürsek,If we think of
yarattı,created
çevre,environment
İhtiyacın,Your need
halini,habitual
çapında,diameter
saçmalığı,nonsense
giyin,get dressed
lydia,lydia
mick,mick
yaratmak,create
juliet,juliet
meredith,meredith
sharon,Sharon
aileler,families
arkadaşımız,our friend
götürüyorum,I'm taking away
okuyor,reading
farkettim,I noticed it
buffy,buffy
vermeni,giving
pierre,pierre
miranda,miranda
nevi,nevi
aylar,months
bitmiştir,It has finished
kitaplar,books
gücüne,to the power of
yeraltı,underground
vaktinde,on time
arzu,desire
dönen,rotating
lisede,in high school
leri,sizes
partiyi,party
arkamda,behind me
çörek,muffin
görünmüyorsun,you don't appear to be
graham,graham
gazı,gas
gelmiyorsun,you are not coming
kıç,ass
sonuca,conclusion
duvarı,wall
ilgileneceğim,I will take care of
seviyede,at the level
arkamdan,behind me
güvenmiyorum,I do not trust
iyiymiş,well-known
yönden,direction
görünüyorlar,they look
ördek,duck
İsterseniz,If you want
üstümden,above me
kelimesini,word
taşımak,to carry
cezasını,permanent
kaybeden,loser
seferki,sepulcher
oyunları,games
üçü,tip
oturuyorum,I am sitting
yıi,yani
dır,dull
zalim,cruel
hanna,hanna
sikik,fucking
edersek,If we are
burke,burke
iletişime,communication
olmadığın,that you are not
yöntem,method
yapmama,don't
rastgele,randomly
oluyorlar,they are getting
görevli,officer
vefat,fancy
buluyorsun,you find it
başkalarına,to others
sıcaklık,heat
gelmelisin,you should come
göründüğünü,that you appear to be
yanan,burning
erkeklerle,with men
temizle,clean
gözün,of the eye
içip,drink
projesi,project
yön,direction
kilisede,in the church
neredeyim,Where I'm
gireceğim,I will get in
von,von
kartını,his card
donmuş,frozen
ayaklarını,your feet
bugünlük,for today
yaşadık,we have lived
söylememiş,unsaid
saldırısı,attack
anlaşmamız,our agreement
patronu,boss
kızılderili,Indian
takılmak,to hang around
canavarı,monster
söylemekten,from telling
kalbinin,of your heart.
kapısını,gate
hisse,share
bilmeden,without knowing
İhtiyacım,I need it
cd,CD
hah,hah
üste,Back to the top
yiyorsun,you're eating
gelecekler,They will come
sir,secret
diyebiliriz,We can say
yarayabilir,it can be injured
tanıştığım,that I meet
cesedin,your corpse
içerde,inside
annesiyle,with his mother
kullanır,uses
açabilir,can open
hepsinden,from all
gezegenin,the planet
bahçede,in the garden
caleb,caleb
